"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"10/1/2013","Washington, DC","1.5 - 2 hr","Annual","103","0"
"10/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","1294","0"
"10/1/2013","Washington, DC","2 - 3 hr","Annual","77","0"
"10/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","363","0"
"10/1/2013","Washington, DC","3 - 4 hr","Annual","25","0"
"10/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","102","0"
"10/1/2013","Washington, DC","4 - 5 hr","Annual","20","0"
"10/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","120","0"
"10/1/2013","Washington, DC","5 - 24 hr","Annual","87","0"
"11/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","116","0"
"11/1/2013","Alexandria, VA","<0.5 hr","Annual","1321","1415"
"11/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","45","0"
"11/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","30","0"
"11/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","33","0"
"11/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","6","0"
"11/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","12","0"
"11/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","1","0"
"11/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","22","0"
"11/1/2013","Alexandria, VA","2 - 3 hr","Annual","0","0"
"11/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","5","0"
"11/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"11/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","2","0"
"11/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"11/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","0","0"
"11/1/2013","Alexandria, VA","5 - 24 hr","Annual","1","0"
"11/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","824","0"
