"Year","Month","Station Name","Municipality","Departures","Arrivals"
"2014","Jul","Harvard St & Adams Mill Rd NW","Washington, DC","483","502"
"2014","Jul","Columbia Rd & Belmont St NW","Washington, DC","1558","950"
"2014","Jul","18th St & Wyoming Ave NW","Washington, DC","1941","1722"
"2014","Jul","Columbia Rd & Georgia Ave NW","Washington, DC","1108","762"
"2014","Jul","California St & Florida Ave NW","Washington, DC","1998","2200"
"2014","Jul","15th & Euclid St  NW","Washington, DC","1595","1118"
"2014","Jul","3rd & Elm St NW","Washington, DC","954","1039"
"2014","Jul","14th & Belmont St NW","Washington, DC","1933","1729"
"2014","Jul","10th & Florida Ave NW","Washington, DC","722","732"
"2014","Jul","Calvert St & Woodley Pl NW","Washington, DC","2197","2035"
"2014","Jul","Massachusetts Ave & Dupont Circle NW","Washington, DC","6464","7209"
"2014","Jul","15th & P St NW","Washington, DC","4477","4957"
"2014","Jul","14th & R St NW","Washington, DC","2697","3001"
"2014","Jul","14th & Rhode Island Ave NW","Washington, DC","2875","2924"
"2014","Jul","20th & E St NW","Washington, DC","1612","1744"
"2014","Jul","21st & I St NW","Washington, DC","1633","1776"
"2014","Jul","19th & E Street NW","Washington, DC","752","706"
"2014","Jul","Georgia Ave and Fairmont St NW","Washington, DC","549","424"
"2014","Jul","M St & New Jersey Ave SE","Washington, DC","1027","1248"
"2014","Jul","1st & N St  SE","Washington, DC","780","824"
"2014","Jul","White House [17th & State Pl NW]","Washington, DC","92","94"
"2014","Jul","Kennedy Center","Washington, DC","563","611"
"2014","Jul","21st & M St NW","Washington, DC","2827","3191"
"2014","Jul","17th & K St NW","Washington, DC","2489","2828"
"2014","Jul","17th & Corcoran St NW","Washington, DC","3525","3670"
"2014","Jul","Georgetown Harbor / 30th St NW","Washington, DC","2048","2804"
"2014","Jul","McPherson Square / 14th & H St NW","Washington, DC","1446","1551"
"2014","Jul","USDA / 12th & Independence Ave SW","Washington, DC","1954","2029"
